,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
6804,Anachronox,PC,General,Ion Storm,Eidos Interactive,1,0,2001,6,3,0.75,0.8191489361702129,0.7222222222222222,0.7582417582417582,1,436,1445,5,34
6805,Sherlock Holmes: Chapter One,PC,General,Frogwares,Frogwares,1,0,2021,11,3,0.75,0.7446808510638299,0.64,0.6233766233766234,1,525,1057,5,34
6806,Voice of Cards: The Beasts of Burden,PlayStation,Strategy,A-lim,Square Enix,1,0,2022,9,3,0.75,0.521276595744681,0.7222222222222222,0.4,1,1354,70,14,42
6807,New Play Control! Pikmin,Wii,General,Nintendo,Nintendo,1,0,2009,3,1,0.75,0.8936170212765958,0.75,0.8596491228070176,1,983,1988,5,46
6808,LEGO Harry Potter: Years 5-7,"Nintendo, PlayStation, Wii, Xbox",General,Traveller's Tales,Warner Bros. Interactive Entertainment,1,0,2011,11,2,0.7022727272727274,0.7595744680851065,0.47401280980228344,0.6043319208025091,0,1579,3055,5,17
6809,Mutant Storm Empire,Xbox,Action,PomPom Games,PomPom Games,2,1,2007,10,2,0.75,0.797872340425532,0.7,0.6,1,1131,2262,0,48
6810,Solo,PC,Action,Team Gotham,Team Gotham,1,0,2018,4,3,0.75,0.6702127659574468,0.8571428571428571,0.6579626660543807,1,1424,2921,0,34
6811,Downstream Panic!,PlayStation,General,EKO Software,Atari,1,0,2008,2,2,0.75,0.8191489361702129,0.7857142857142857,0.75,1,112,877,5,42
6812,DOOM II,Xbox,Action,id Software,Bethesda Softworks,4,1,2010,5,4,0.75,0.8510638297872343,0.7142857142857143,0.7789473684210526,1,152,3400,0,48
6813,Mega Man Zero 4,Nintendo,Action,Inti,Capcom,2,0,2005,10,1,0.75,0.9042553191489364,0.8235294117647058,0.8461538461538461,1,240,1436,0,0
6814,Might & Magic: Heroes VI,PC,General,Black Hole Games,Ubisoft,1,0,2011,10,3,0.75,0.5957446808510639,0.7708333333333334,0.38088235294117645,1,1524,356,5,34
6815,Enigma: Rising Tide,PC,Simulation,Tesseraction Games,DreamCatcher Interactive,1,0,2003,8,3,0.75,0.5851063829787235,0.7692307692307693,0.375,1,410,2951,12,34
6816,Call of Duty: Infinite Warfare,PlayStation,Action,Infinity Ward,Activision,18,1,2016,11,4,0.75,0.4361702127659576,0.632183908045977,0.33015873015873015,1,55,1412,0,42
6817,Soul Sacrifice,PlayStation,Action,SCE Japan Studio,SCEA,1,0,2013,4,4,0.75,0.8404255319148937,0.7323943661971831,0.7612903225806451,1,1230,2503,0,42
6818,Freud's Bones-the game,PC,General,Axel Fox,Axel Fox,1,0,2022,5,3,0.75,0.7659574468085107,0.8571428571428571,0.6666666666666666,1,128,256,5,34
