,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
5160,NHL Hitz 20-03,"Old Platform, PlayStation, Xbox",Arcade,Midway,Midway,4,1,2002,9,1,0.8030303030303031,0.8546099290780144,0.9020467836257309,0.8388888888888889,0,578,1173,3,27
5161,Gitaroo Man,PlayStation,Miscellaneous,Koei/Inis,Koei,4,1,2002,2,1,0.8068181818181819,0.8936170212765958,0.8095238095238095,0.8620689655172413,1,505,1015,6,39
5162,Theme Park Roller Coaster,PlayStation,Strategy,Bullfrog Productions,Electronic Arts,1,0,2000,12,1,0.8068181818181819,0.8191489361702129,0.8181818181818182,0.65,1,290,299,14,39
5163,Dave Mirra Freestyle BMX,PlayStation,Sports,"Z-Axis, Ltd.",Acclaim,2,0,2000,9,1,0.8068181818181819,0.723404255319149,0.8571428571428571,0.4166666666666667,1,35,2128,13,39
5164,Karaoke Revolution Volume 3,PlayStation,Miscellaneous,Harmonix Music Systems,Konami,8,1,2004,11,1,0.8068181818181819,0.797872340425532,0.92,0.7,1,507,825,6,39
5165,Professor Layton and the Miracle Mask,Nintendo,General,Level 5,Nintendo,1,0,2012,10,2,0.8068181818181819,0.8297872340425533,0.8888888888888888,0.7962962962962963,1,632,1054,5,0
5166,Rainbow Billy: The Curse of the Leviathan,PC,Action,ManaVoid Entertainment Inc.,ManaVoid Entertainment Inc.,1,0,2021,10,3,0.8068181818181819,0.8085106382978725,0.8571428571428571,0.8333333333333334,1,545,1118,0,31
5167,Yakuza 5 Remastered,PlayStation,Action Adventure,Ryu ga Gotoku Studios,Sega,1,0,2020,2,4,0.8068181818181819,0.8085106382978725,1.0,0.7142857142857143,1,791,1592,1,39
5168,The Pinball Arcade,"PlayStation, Xbox",Action,Farsight Studios,Alliance Digital Media,1,0,2012,4,2,0.8068181818181819,0.6861702127659575,0.9375,0.547077922077922,0,55,645,0,42
5169,Monster Hunter 3 Ultimate,Wii,Action Adventure,Capcom,Capcom,1,0,2013,3,3,0.8068181818181819,0.8510638297872343,0.8363636363636363,0.8054711246200608,1,161,324,1,43
5170,SnowRunner,"PC, PlayStation, Xbox",Arcade,Saber Interactive,Focus Home Interactive,4,1,2020,4,1,0.7992424242424243,0.6985815602836881,0.9438405797101449,0.6110516505887769,0,332,1618,3,35
5171,Borderlands: The Handsome Collection,PlayStation,Miscellaneous,Gearbox Software,2K Games,4,1,2015,3,4,0.8068181818181819,0.8191489361702129,0.9387755102040817,0.7533834586466165,1,11,756,6,39
5172,Forza Horizon 2: Storm Island,Xbox,Racing,Playground Games,Microsoft Game Studios,1,0,2014,12,2,0.8068181818181819,0.7765957446808511,0.8421052631578947,0.7473684210526316,1,577,1427,8,45
5173,Super Stardust Delta,PlayStation,Action,Housemarque,SCEA,1,0,2012,2,1,0.8068181818181819,0.8191489361702129,0.9285714285714286,0.7435897435897436,1,768,871,0,39
5174,Act of War: Direct Action,PC,General,Eugen Systems,Atari,8,1,2005,3,3,0.8068181818181819,0.8191489361702129,0.8837209302325582,0.7368421052631579,1,79,615,5,31
5175,Madden NFL 18,"PlayStation, Xbox",Sim,Electronic Arts,Electronic Arts,6,1,2017,8,1,0.8068181818181819,0.3829787234042554,0.8113636363636363,0.2667548500881834,0,290,594,11,42
5176,SUPERHOT: MIND CONTROL DELETE,Xbox,Action,SUPERHOT,SUPERHOT,1,0,2020,7,3,0.8068181818181819,0.5957446808510639,0.8333333333333334,0.2916666666666667,1,778,1616,0,45
5177,Flat Heroes,Nintendo,Action,Parallel Circles,Parallel Circles,1,0,2018,8,1,0.8068181818181819,0.8191489361702129,0.9230769230769231,0.7647058823529411,1,681,1378,0,0
5178,Horizon Chase Turbo,Nintendo,Arcade,Aquiris Game Studio,Aquiris Game Studio,1,0,2018,11,1,0.8068181818181819,0.8191489361702129,0.8125,0.7777777777777778,1,62,109,3,0
5179,RiME,Xbox,Action,Tequila Works,Tequila Works,1,0,2017,5,2,0.8068181818181819,0.7553191489361704,0.8888888888888888,0.6436781609195402,1,896,1875,0,45
5180,Tekken 7,"PC, PlayStation, Xbox",Action,Bandai Namco Games,Bandai Namco Games,1,1,2017,6,3,0.8030303030303031,0.6631205673758865,0.9146142600089968,0.5362158671110078,0,97,178,0,35
5181,Runbow,Wii,Action,13AM Games,13AM Games,1,0,2015,8,1,0.8068181818181819,0.797872340425532,0.7941176470588235,0.7313432835820896,1,4,4,0,43
5182,Espgaluda II -Be Ascension. The Third Bright Stone of Birth-,Nintendo,Action,Cave,Live Wire,1,0,2021,9,3,0.8068181818181819,0.7012011581983197,0.8571428571428571,1.0,1,529,338,0,0
5183,Ghosts 'n Goblins Resurrection,Xbox,Action,Capcom,Capcom,1,0,2021,6,3,0.8068181818181819,0.5744680851063831,0.875,0.6631653562348107,1,161,324,0,45
5184,Sokobond,PC,Action,Alan Hazelden & Harry Lee,Alan Hazelden & Harry Lee,1,0,2013,8,3,0.8068181818181819,0.7765957446808511,0.5714285714285714,0.625,1,51,77,0,31
5185,Quell Memento,PlayStation,Miscellaneous,Fallen Tree Games,Fallen Tree Games,1,0,2013,6,1,0.8068181818181819,0.7765957446808511,0.8571428571428571,0.7857142857142857,1,316,641,6,39
5186,MotoHeroz,Wii,Arcade,RedLynx,RedLynx,4,1,2011,9,1,0.8068181818181819,0.7659574468085107,0.75,0.75,1,746,1533,3,43
5187,Mario vs. Donkey Kong: Minis March Again!,Nintendo,Action,Nintendo,Nintendo,1,0,2009,6,1,0.8068181818181819,0.8085106382978725,0.9166666666666666,0.7142857142857143,1,632,1282,0,0
5188,Zone of the Enders: The 2nd Runner,PlayStation,Sci-Fi,KCEJ,Konami,2,0,2003,3,4,0.8068181818181819,0.8936170212765958,0.8181818181818182,0.8888888888888888,1,507,981,10,39
5189,Viva Pinata: Trouble in Paradise,Xbox,Miscellaneous,Rare Ltd.,Microsoft Game Studios,1,0,2008,9,1,0.8068181818181819,0.8297872340425533,0.84375,0.7361111111111112,1,577,1500,6,45
