,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
4130,Soldner-X 2: Final Prototype,PlayStation,"Action, Horizontal, Scrolling, Scrolling, Shoot-'Em-Up, Shooter, Shooter, Vertical",SideQuest Studios,EastAsiaSoft,0,0,2010,5,1,0.7159090909090909,0.7446808510638299,0.5951417004048583,0.661904761904762,1,502,2952,935,47
4131,Operation Flashpoint: Dragon Rising,"PC, PlayStation, Xbox","Action, First-Person, Modern, Modern, Shooter, Shooter, Tactical",Codemasters,Codemasters,8,1,2009,10,4,0.7424242424242425,0.6276595744680852,0.6861265415924257,0.442753290712584,0,344,671,840,43
4132,Dead Nation,PlayStation,"Action, Action Adventure, Horror, Modern, Modern, Shoot-'Em-Up, Shooter, Shooter, Third-Person, Top-Down",Housemarque,SCEA,0,0,2010,11,4,0.75,0.7127659574468086,0.7346938775510204,0.556390977443609,1,1428,1505,588,47
4133,DodoGo!,Nintendo,"2D, 2D, Action, Platformer, Platformer",Alien After All,Neko Entertainment,1,0,2010,4,1,0.75,0.705164357939853,0.6923076923076923,0.6566745598693725,1,1116,142,48,0
4134,Arcana Heart,PlayStation,"2D, Action, Fighting",Examu,Atlus Co.,2,0,2008,4,3,0.75,0.8191489361702129,0.75,0.6666666666666666,1,137,1069,102,47
4135,Stranglehold,"PC, PlayStation, Xbox","Action, Arcade, Modern, Modern, Shooter, Shooter, Third-Person",Midway,Midway,6,1,2007,9,4,0.75,0.7659574468085107,0.7689779147406265,0.5460551413627064,0,1032,2033,737,43
4136,GhostWire: Tokyo,"PC, PlayStation","Action Adventure, Adventure, General, Visual Novel",Tango Gameworks,Bethesda Softworks,0,0,2022,3,3,0.7386363636363636,0.8882978723404256,0.569672131147541,0.8396999945569015,0,181,3276,357,40
4137,Fable III: Traitor's Keep Quest Pack,Xbox,"Action RPG, Console-style RPG, Console-style RPG, Japanese-Style, Role-Playing",Lionhead Studios,Microsoft Game Studios,0,0,2011,3,4,0.75,0.797872340425532,0.6923076923076923,0.6566745598693725,1,1028,1851,495,53
4138,Section 8: Prejudice,"PC, PlayStation, Xbox","Action, Arcade, First-Person, Sci-Fi, Sci-Fi, Shooter, Shooter",TimeGate Studios,TimeGate Studios,0,0,2011,4,3,0.7196969696969697,0.7836879432624114,0.6742424242424243,0.6306845238095238,0,1714,3403,709,43
4139,Lego Indiana Jones: The Original Adventures,PlayStation,"Adventure, General",Traveller's Tales,LucasArts,2,0,2008,6,2,0.75,0.872340425531915,0.6666666666666666,0.7631578947368421,1,962,3452,1021,47
