,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
5176,Greak: Memories of Azur,"Nintendo, PC, PlayStation","action, action adventure, general, metroidvania, platformer",Navegante Entertainment,Team17,0,0,2021,8,2,0.6931818181818182,0.7588652482269506,0.4809368191721133,0.7056623931623932,0,1534,2023,412,12
5177,The Raven Remastered,"Nintendo, PlayStation","adventure, point-and-click",THQ Nordic,THQ Nordic,0,0,2018,3,3,0.7045454545454546,0.6382978723404256,0.4222222222222222,0.45962732919254656,0,1513,2999,775,19
5178,The Room,Nintendo,"adventure, general",Fireproof Games,Team17,0,0,2018,10,1,0.7159090909090909,0.8191489361702129,0.5714285714285714,0.631578947368421,1,1534,1055,745,0
5179,CastleStorm: Definitive Edition,PlayStation,"defense, general, real-time, strategy",Zen Studios,Zen Studios,2,0,2014,9,3,0.7159090909090909,0.6170212765957448,0.6666666666666666,0.45,1,1768,3483,1055,47
5180,Shadows: Heretic Kingdoms,PC,"action rpg, pc-style rpg, role-playing, western-style",Games Farm,bitComposer Games,0,0,2014,6,3,0.7159090909090909,0.7127659574468086,0.4666666666666667,0.603448275862069,1,1781,1188,362,39
5181,Edge (2011),PC,"3d, action, general, miscellaneous, platformer, puzzle",Two Tribes,Two Tribes,0,0,2011,8,3,0.7159090909090909,0.7553191489361704,0.5,0.5370370370370371,1,1633,3228,147,39
5182,Naruto: Clash of Ninja Revolution,Wii,"3d, action, fighting",Eighting,D3,4,1,2007,10,3,0.7159090909090909,0.8085106382978725,0.4782608695652174,0.6333333333333333,1,374,949,143,51
5183,The SpongeBob SquarePants Movie,"Old Platform, Xbox","3d, action, platformer",Heavy Iron Studios,THQ,1,0,2004,10,1,0.7102272727272727,0.7925531914893618,0.4722222222222222,0.6440092165898618,0,1512,1334,154,38
5184,Titan Souls,"PC, PlayStation","action, action adventure, general",Acid Nerve,Devolver Digital,0,0,2015,4,3,0.7102272727272727,0.6489361702127661,0.5543478260869565,0.4714511328433457,0,413,100,407,40
5185,Tetris Axis,Nintendo,"miscellaneous, puzzle, stacking",Hudson Soft,Nintendo,8,1,2011,10,1,0.7159090909090909,0.723404255319149,0.5151515151515151,0.5714285714285714,1,1070,1394,1253,0
5186,Radiata Stories,PlayStation,"console-style rpg, role-playing",Tri-Ace,Square Enix,1,0,2005,9,3,0.7159090909090909,0.8829787234042554,0.5277777777777778,0.8571428571428571,1,1459,3193,1045,47
5187,Foretales,PC,"card battle, strategy, turn-based",Alkemi Games,Dear Villagers,0,0,2022,9,3,0.7159090909090909,0.7446808510638299,0.46153846153846156,0.656743750063108,1,397,136,963,39
5188,Loopmancer,PC,"2d, action, general, platformer",eBrain Studio,Yooreka Studio,0,0,2022,7,3,0.7159090909090909,0.7553191489361704,0.45454545454545453,0.375,1,1754,3523,49,39
5189,Valkyrie Profile: Covenant of the Plume,Nintendo,"fantasy, strategy, tactics, turn-based",Tri-Ace,Square Enix,0,0,2009,3,3,0.7159090909090909,0.7553191489361704,0.6,0.6363636363636364,1,1459,3193,1100,0
5190,Darkstalkers Chronicle: The Chaos Tower,PlayStation,"2d, action, fighting",Capcom,Capcom,2,0,2005,3,3,0.7159090909090909,0.8085106382978725,0.5185185185185185,0.72,1,267,518,42,47
5191,Army of Two,"PlayStation, Xbox","action, arcade, modern, shooter, third-person",EA Montreal,EA Games,4,1,2008,3,4,0.7045454545454546,0.7553191489361704,0.4628212974296205,0.5366774391263164,0,467,910,541,50
5192,Sniper Elite III: Ultimate Edition,"Nintendo, PlayStation","action, shooter, tactical, third-person",Rebellion,505 Games,12,1,2015,3,4,0.7102272727272727,0.7021276595744681,0.5396825396825398,0.55,0,33,2485,717,19
5193,Capcom Classics Collection Volume 2,PlayStation,"compilation, miscellaneous",Digital Eclipse,Capcom,4,1,2006,11,3,0.7159090909090909,0.8191489361702129,0.625,0.8333333333333334,1,267,829,1033,47
5194,Midway Arcade Treasures 2,"Old Platform, PlayStation, Xbox","compilation, miscellaneous",Backbone Entertainment,Midway,4,1,2004,10,4,0.7159090909090909,0.7092198581560285,0.6184210526315789,0.6055555555555555,0,968,277,1033,36
5195,SpellForce: The Order of Dawn,PC,"fantasy, general, real-time, strategy",EA Phenomic,"Encore Software, Inc.",8,1,2004,2,3,0.7159090909090909,0.8404255319148937,0.6666666666666666,0.7719298245614035,1,494,912,1089,39
5196,XIII,"Old Platform, PC, PlayStation, Xbox","action, first-person, sci-fi, shooter",Southend Interactive,Ubisoft,4,1,2003,11,4,0.7045454545454546,0.8085106382978725,0.503022759601707,0.6695779717703078,0,1641,2839,621,31
5197,Pac-Man World 2,"Old Platform, PlayStation, Xbox","3d, action, platformer",Namco,Namco,1,0,2002,2,1,0.6818181818181818,0.8049645390070923,0.4277360066833751,0.6862748444722805,0,1042,2013,154,36
5198,Atari Anniversary Edition,"Old Platform, PC","compilation, miscellaneous",Digital Eclipse,Atari,4,1,2001,7,1,0.6363636363636365,0.7553191489361704,0.45535714285714285,0.528371875031554,0,122,829,1033,27
5199,The Legend of Dragoon,PlayStation,"console-style rpg, role-playing",SCEI,SCEA,1,0,2000,6,3,0.7159090909090909,0.9042553191489364,0.4166666666666667,0.8650793650793651,1,1332,2615,1045,47
5200,Bad Mojo,PC,"action adventure, adventure, general, horror",Pulse Entertainment,Pulse Entertainment,0,0,1996,2,3,0.7159090909090909,0.7021276595744682,0.8,0.42857142857142855,1,1242,2400,228,39
5201,Resident Evil 6,"Nintendo, PC, PlayStation, Xbox","action adventure, horror, survival",Capcom,Capcom,4,1,2012,10,4,0.6344696969696969,0.6595744680851064,0.40426863439552574,0.5084752958954296,0,267,518,316,15
5202,The Alliance Alive,Nintendo,"japanese-style, role-playing",Cattle Call,Atlus,0,0,2018,3,2,0.7159090909090909,0.797872340425532,0.5185185185185185,0.7346938775510204,1,124,539,1226,0
5203,Story of Seasons: Trio of Towns,Nintendo,"business / tycoon, management, strategy",Marvelous Inc.,XSEED Games,4,1,2017,2,2,0.7159090909090909,0.8191489361702129,0.5625,0.7346938775510204,1,1741,1810,953,0
5204,MindSeize,Nintendo,"2d, action, platformer",Kamina Dimension,First Press Games,0,0,2020,9,2,0.7159090909090909,0.8191489361702129,0.42857142857142855,0.6923076923076923,1,548,1595,61,0
5205,Death end re;Quest 2,PlayStation,"japanese-style, role-playing",Compile Heart,Idea Factory,0,0,2020,8,4,0.7159090909090909,0.6808510638297873,0.6153846153846154,0.5714285714285714,1,775,636,1226,47
5206,The Coma 2: Vicious Sisters,Nintendo,"action adventure, survival",Devespresso Games,Headup Games,0,0,2020,6,3,0.7159090909090909,0.6914893617021277,0.2857142857142857,0.4,1,721,813,335,0
5207,Dark Nights with Poe and Munro,PC,"adventure, general, visual novel",D'Avekki Studios Limited,D'Avekki Studios Limited,0,0,2020,5,3,0.7159090909090909,0.5319148936170214,0.42857142857142855,0.375,1,372,730,770,39
5208,Alone With You (2017),PC,"adventure, general",Benjamin Rivers,Benjamin Rivers,0,0,2017,2,3,0.7159090909090909,0.521276595744681,0.5384615384615384,0.656743750063108,1,163,324,745,39
5209,Neverwinter,"PC, PlayStation, Xbox","massively multiplayer, role-playing",Cryptic Studios,Perfect World Entertainment,0,0,2013,6,3,0.6856060606060606,0.5567375886524824,0.45714285714285713,0.38725626225626225,0,1168,706,1238,43
5210,Need for Speed Underground Rivals,PlayStation,"automobile, driving, gt / street, racing, simulation",Team Fusion,EA Games,4,1,2005,3,1,0.7159090909090909,0.8510638297872343,0.6111111111111112,0.7368421052631579,1,467,3032,892,47
5211,Inazuma Eleven 2: Blizzard,Nintendo,"general, sports",Level 5,Nintendo,0,0,2012,3,3,0.7159090909090909,0.8297872340425533,0.6,0.8055555555555556,1,1070,1692,1195,0
5212,Vietcong (2003),PC,"action, arcade, first-person, historic, shooter",Pterodon,Gathering,32,1,2003,3,3,0.7159090909090909,0.8829787234042554,0.45454545454545453,0.859504132231405,1,646,2397,502,39
5213,Star Ocean: The Last Hope International,PlayStation,"action rpg, console-style rpg, japanese-style, role-playing",Square Enix,Square Enix,0,0,2010,2,3,0.7159090909090909,0.8085106382978725,0.6444444444444445,0.7692307692307693,1,1459,2874,344,47
5214,Bad North,"Nintendo, PC","action, general, real-time, strategy",Plausible Concept,Raw Fury,0,0,2018,8,3,0.7045454545454546,0.7180851063829787,0.5222222222222221,0.5249084249084249,0,1270,2320,660,11
5215,Marble Saga: Kororinpa,Wii,"action, miscellaneous, puzzle",Hudson Entertainment,Konami,4,1,2009,3,1,0.7159090909090909,0.797872340425532,0.5625,0.625,1,857,1393,692,51
5216,Just Cause 3,"PC, PlayStation, Xbox","action adventure, open-world, sci-fi",Avalanche Studios,Square Enix,0,0,2015,11,4,0.7007575757575758,0.6524822695035462,0.5711904761904761,0.46269702650426225,0,1459,259,328,43
5217,Dance Central Spotlight,Xbox,"action, dancing, miscellaneous, rhythm",Harmonix Music Systems,Microsoft Game Studios,0,0,2014,9,3,0.7159090909090909,0.6914893617021277,0.47368421052631576,0.58,1,964,1319,598,53
5218,Smash Court Tennis Pro Tournament 2,PlayStation,"sports, tennis, traditional",Namco,Namco,4,1,2004,6,1,0.7159090909090909,0.8829787234042554,0.6585365853658537,0.8125,1,1042,2013,1291,47
5219,Neversong,PC,"action adventure, adventure, general",Serenity Forge,Serenity Forge,0,0,2020,5,3,0.7159090909090909,0.7659574468085107,0.5,0.625,1,1377,2695,226,39
5220,Frobisher Says!,PlayStation,"general, miscellaneous",Honeyslug Ltd,SCEA,0,0,2012,10,2,0.7159090909090909,0.7446808510638299,0.7142857142857143,0.6086956521739131,1,1332,1378,1150,47
5221,Monster Sanctuary,Nintendo,"action adventure, general",Moi Rai Games,Team17,0,0,2020,12,2,0.7159090909090909,0.797872340425532,0.36363636363636365,0.7666666666666667,1,1534,1935,275,0
5222,Jacob Jones and the Bigfoot Mystery: Episode One - A Bump in the Night,PlayStation,"general, miscellaneous, puzzle",Lucid Games,SCEA,1,0,2013,5,2,0.7159090909090909,0.7872340425531916,0.6363636363636364,0.7857142857142857,1,1332,1736,1155,47
5223,Naruto: Clash of Ninja 2,Old Platform,"3d, action, fighting",8ing/Raizing,D3,4,1,2006,9,3,0.7159090909090909,0.8936170212765958,0.5909090909090909,0.8297872340425532,0,374,73,143,26
5224,Song of Horror,"PC, PlayStation","action adventure, survival",Protocol Games,Raiser Games,0,0,2019,10,3,0.6761363636363636,0.7393617021276597,0.49857142857142855,0.6269005847953216,0,1264,2385,335,40
5225,American Civil War: Take Command - Second Manassas,PC,"general, real-time, strategy, wargame",MadMinute Games,Paradox Interactive,0,0,2006,4,3,0.7159090909090909,0.8085106382978725,0.65,0.7777777777777778,1,1154,1774,1180,39
